City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
7,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
11,Bredasdorp,ZA,60.8,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
15,Tezu,IN,73.4,light rain,27.92,96.17,Circuit House
16,Port Alfred,ZA,61.77,broken clouds,-33.59,26.89,The Halyards Hotel
17,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
21,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
23,Atambua,ID,73.13,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
25,Carnarvon,AU,69.8,overcast clouds,-24.87,113.63,Hospitality Carnarvon
30,Vaini,TO,69.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Sibolga,ID,77.59,light rain,1.74,98.78,Hotel Syariah CN Darussalam
32,Rikitea,PF,74.91,light rain,-23.12,-134.97,Pension Maro'i
39,Tam Ky,VN,77.0,moderate rain,15.57,108.48,Tam Ky Hotels - Tram Oanh Hotel
41,Talcahuano,CL,60.8,few clouds,-36.72,-73.12,Hotel Terramar
42,Hermanus,ZA,61.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
43,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
50,Arrecife,ES,69.8,few clouds,28.96,-13.55,Hotel Lancelot
55,Pimentel,PE,71.6,scattered clouds,-6.84,-79.93,Casona Del Muelle
57,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
60,Mogadishu,SO,78.96,scattered clouds,2.04,45.34,Hotel Juba
62,Bourail,NC,69.55,clear sky,-21.57,165.48,Nekweta
64,Alexandria,EG,75.2,clear sky,31.22,29.96,Royal Crown Hotel
69,Lagoa,PT,62.74,broken clouds,39.05,-27.98,Casa Das Faias
75,Mar Del Plata,AR,75.2,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
76,Pemangkat,ID,77.81,overcast clouds,1.17,108.97,Kost H.Syamsuddin
77,East London,ZA,64.99,broken clouds,-33.02,27.91,Tu Casa
79,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
81,Ballitoville,ZA,71.6,broken clouds,-29.54,31.21,Hotel Fairmont Zimbali Resort
82,Paciran,ID,78.93,light rain,-6.88,112.38,Tanjung Kodok Beach Resort
84,Shenjiamen,CN,66.27,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
86,Necochea,AR,66.0,light rain,-38.55,-58.74,dyd -mar Hotel
89,Cairns,AU,68.0,few clouds,-16.92,145.77,Mantra Trilogy Cairns
90,Hilo,US,77.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
95,Biak,ID,76.03,overcast clouds,-0.91,122.88,Kost Ariz
102,Green River,US,62.6,scattered clouds,41.53,-109.47,Hampton Inn & Suites Green River
103,Det Udom,TH,73.4,overcast clouds,14.91,105.08,Chatsuda Resort
105,Greytown,ZA,63.27,overcast clouds,-29.06,30.59,Lord Grey Guest House
117,Yulara,AU,66.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
121,Jimma,ET,60.85,overcast clouds,7.67,36.83,Jimma Central Hotel
124,Balad,IQ,73.26,clear sky,34.02,44.15,رضاوي زنوبة
125,Wanning,CN,77.43,light rain,18.8,110.4,Paradise Hotel
131,Bethel,US,61.0,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
133,Nabire,ID,75.15,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
136,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
139,Ribeira Grande,PT,62.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
140,Marsh Harbour,BS,78.37,overcast clouds,26.54,-77.06,Abaco Beach Resort
141,Kaeo,NZ,61.0,few clouds,-35.1,173.78,Bushido Lodge
142,Serenje,ZM,66.99,clear sky,-13.23,30.24,SERENJE SOCH INN
145,Coos Bay,US,73.0,overcast clouds,43.37,-124.22,Best Western Holiday Hotel
147,Salamiyah,SY,63.16,overcast clouds,35.01,37.05,Gondolas Forum grandchildren and grandparents
149,Cidreira,BR,69.37,scattered clouds,-30.18,-50.21,Hotel Castelo
150,Jieshi,CN,73.99,few clouds,22.81,115.83,Yuehai Hotel
153,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
155,Kuala Lipis,MY,74.28,overcast clouds,4.18,102.05,Lipis Centrepoint Hotel
