City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kapaa,US,22.08,-159.32,82.0,88,90,6.93,moderate rain
1,Avarua,CK,-21.21,-159.78,77.0,78,92,8.05,overcast clouds
2,Busselton,AU,-33.65,115.33,57.99,57,0,8.14,clear sky
3,Ushuaia,AR,-54.8,-68.3,42.8,75,75,28.86,light rain
4,Eyl,SO,7.98,49.82,80.31,76,0,8.48,clear sky
5,Qasigiannguit,GL,68.82,-51.19,42.8,45,100,17.22,overcast clouds
6,Tarare,FR,45.9,4.43,45.0,87,37,1.05,scattered clouds
7,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,69,75,16.11,broken clouds
8,Jamestown,US,42.1,-79.24,57.0,50,90,14.99,overcast clouds
9,Calabozo,VE,8.92,-67.43,83.12,83,100,3.15,moderate rain
10,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,97.2,32,7,9.26,clear sky
11,Bredasdorp,ZA,-34.53,20.04,60.8,77,100,1.12,overcast clouds
12,Tateyama,JP,34.98,139.87,57.2,76,75,10.29,broken clouds
13,Hithadhoo,MV,-0.6,73.08,83.37,77,100,15.61,overcast clouds
14,Ontario,US,34.06,-117.65,89.6,25,20,6.35,few clouds
15,Tezu,IN,27.92,96.17,73.4,69,0,3.44,light rain
16,Port Alfred,ZA,-33.59,26.89,61.77,82,59,7.61,broken clouds
17,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,40,16.11,scattered clouds
18,Puerto Ayacucho,VE,5.66,-67.62,88.77,60,46,1.74,light rain
19,Natal,BR,-5.79,-35.21,82.4,65,40,16.11,scattered clouds
20,Porto Walter,BR,-8.27,-72.74,86.92,56,100,3.42,overcast clouds
21,Los Llanos De Aridane,ES,28.66,-17.92,75.2,73,20,13.87,few clouds
22,Lebu,CL,-37.62,-73.65,55.31,65,0,7.02,clear sky
23,Atambua,ID,-9.11,124.89,73.13,81,9,1.79,clear sky
24,Assiniboia,CA,49.63,-105.98,23.97,84,70,9.46,broken clouds
25,Carnarvon,AU,-24.87,113.63,69.8,83,90,12.75,overcast clouds
26,Butaritari,KI,3.07,172.79,82.04,72,99,18.1,overcast clouds
27,Georgetown,MY,5.41,100.34,80.6,88,20,4.7,light rain
28,Hobart,AU,-42.88,147.33,50.0,57,75,9.17,broken clouds
29,Dekar,BW,-21.53,21.93,76.23,17,0,9.82,clear sky
30,Vaini,TO,-21.2,-175.2,69.8,88,75,15.46,broken clouds
31,Sibolga,ID,1.74,98.78,77.59,73,100,3.36,light rain
32,Rikitea,PF,-23.12,-134.97,74.91,81,100,19.8,light rain
33,Bryan,US,30.67,-96.37,89.6,48,40,14.99,scattered clouds
34,Narsaq,GL,60.92,-46.05,37.4,74,87,2.24,overcast clouds
35,Coari,BR,-4.08,-63.14,87.31,59,96,1.43,overcast clouds
36,Diffa,NE,13.32,12.61,88.83,14,0,5.59,clear sky
37,Dikson,RU,73.51,80.55,27.63,90,99,29.97,overcast clouds
38,Bluff,NZ,-46.6,168.33,46.99,95,100,4.0,moderate rain
39,Tam Ky,VN,15.57,108.48,77.0,100,75,1.12,moderate rain
40,Pajapan,MX,18.25,-94.7,86.0,70,40,12.75,scattered clouds
41,Talcahuano,CL,-36.72,-73.12,60.8,55,20,13.87,few clouds
42,Hermanus,ZA,-34.42,19.23,61.0,84,100,6.13,overcast clouds
43,Loandjili,CG,-4.76,11.86,78.8,88,75,9.17,broken clouds
44,Norman Wells,CA,65.28,-126.83,17.6,78,20,6.93,few clouds
45,Dudinka,RU,69.41,86.18,15.8,92,90,8.95,light snow
