City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Prince George,CA,53.92,-122.75,26.01,79,75,10.29,broken clouds
1,Hermanus,ZA,-34.42,19.23,66.99,65,50,7.29,scattered clouds
2,Mataura,NZ,-46.19,168.86,48.0,89,100,1.99,light rain
3,Busselton,AU,-33.65,115.33,63.0,48,0,11.05,clear sky
4,Gazojak,TM,41.19,61.4,62.62,25,0,9.53,clear sky
5,Thompson,CA,55.74,-97.86,24.8,100,75,4.7,light snow
6,Port Elizabeth,ZA,-33.92,25.57,64.4,72,33,14.99,scattered clouds
7,Kampot,KH,10.62,104.18,75.2,94,75,1.12,light rain
8,Chuy,UY,-33.7,-53.46,76.48,51,0,6.96,clear sky
9,Hobart,AU,-42.88,147.33,51.8,57,90,8.05,overcast clouds
10,Ostrovnoy,RU,68.05,39.51,34.38,86,73,13.73,broken clouds
11,Dukat,RU,62.55,155.55,18.09,91,92,4.27,overcast clouds
12,Geraldton,AU,-28.77,114.6,62.6,88,1,9.17,clear sky
13,Iqaluit,CA,63.75,-68.51,32.0,94,90,9.17,light snow
14,Opuwo,NA,-18.06,13.84,96.58,9,0,12.86,clear sky
15,Ostrov,RU,57.34,28.35,39.2,86,20,8.95,few clouds
16,Carnarvon,AU,-24.87,113.63,69.8,83,90,13.87,overcast clouds
17,Lata,PT,40.16,-8.33,73.99,49,100,7.4,overcast clouds
18,Ixtapa,MX,20.7,-105.2,86.0,70,75,2.08,broken clouds
19,Lautaro,CL,-38.52,-72.45,60.8,48,75,8.05,broken clouds
20,Anqiu,CN,36.43,119.19,55.42,40,12,5.32,light rain
21,Changqing,CN,36.56,116.73,61.0,51,82,6.2,broken clouds
22,Bethel,US,41.37,-73.41,60.01,54,40,12.75,scattered clouds
23,Norman Wells,CA,65.28,-126.83,6.8,84,40,5.82,scattered clouds
24,Puerto Ayora,EC,-0.74,-90.35,75.2,73,75,11.41,broken clouds
25,Kangaba,ML,11.93,-8.42,94.55,36,17,4.29,few clouds
26,Sitka,US,57.05,-135.33,42.8,60,90,5.82,overcast clouds
27,Sinnamary,GF,5.38,-52.95,87.57,59,51,9.53,broken clouds
28,Port Lincoln,AU,-34.73,135.87,52.43,78,0,8.72,clear sky
29,Thinadhoo,MV,0.53,72.93,83.89,76,80,16.51,broken clouds
30,Grand Gaube,MU,-20.01,57.66,73.99,68,1,3.0,clear sky
31,Jamestown,US,42.1,-79.24,55.99,50,1,12.75,clear sky
