City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.48,-69.36,30.56,85,45,6.87,GL,2020-10-14 19:54:27
1,Rikitea,-23.12,-134.97,73.63,80,27,19.46,PF,2020-10-14 19:54:27
2,Saskylakh,71.92,114.08,15.6,95,100,15.95,RU,2020-10-14 19:54:27
3,San Fernando,15.03,120.69,77.0,88,90,2.24,PH,2020-10-14 19:54:28
4,Yellowknife,62.46,-114.35,26.01,68,90,23.04,CA,2020-10-14 19:54:28
5,Whitecourt,54.15,-115.69,37.4,62,75,6.93,CA,2020-10-14 19:54:28
6,Cartagena,10.4,-75.51,82.4,83,40,1.12,CO,2020-10-14 19:52:51
7,Prainha,-1.8,-53.48,94.87,37,100,7.72,BR,2020-10-14 19:54:28
8,Hamm,51.68,7.82,48.2,81,90,8.05,DE,2020-10-14 19:54:28
9,Puerto Ayora,-0.74,-90.35,77.0,73,75,8.05,EC,2020-10-14 19:54:28
10,Hami,42.8,93.45,44.92,55,0,11.81,CN,2020-10-14 19:54:28
11,Ranong,9.97,98.63,79.2,83,100,9.98,TH,2020-10-14 19:54:28
12,Tilichiki,60.47,166.1,39.65,98,100,13.89,RU,2020-10-14 19:54:29
13,Taltal,-25.4,-70.48,65.53,54,22,7.7,CL,2020-10-14 19:54:29
14,Gorontalo,0.54,123.06,75.04,84,95,2.59,ID,2020-10-14 19:53:57
15,Tuktoyaktuk,69.45,-133.04,26.6,79,75,24.16,CA,2020-10-14 19:54:29
16,Punta Arenas,-53.15,-70.92,51.8,50,75,25.28,CL,2020-10-14 19:54:29
17,Rincon,32.3,-81.24,84.0,58,75,6.93,US,2020-10-14 19:51:13
18,Hamilton,39.18,-84.53,75.99,36,1,10.29,US,2020-10-14 19:54:29
19,Cockburn Town,21.46,-71.14,83.75,75,12,10.98,TC,2020-10-14 19:54:29
20,Hobart,-42.88,147.33,57.2,71,75,14.99,AU,2020-10-14 19:49:40
21,Mahebourg,-20.41,57.7,73.4,83,20,5.82,MU,2020-10-14 19:54:30
22,Ilulissat,69.22,-51.1,27.63,93,90,1.07,GL,2020-10-14 19:54:30
23,New Norfolk,-42.78,147.06,51.01,77,100,3.2,AU,2020-10-14 19:54:30
24,Cuxhaven,53.87,8.69,48.2,76,75,16.11,DE,2020-10-14 19:54:30
25,Sosenskiy,54.06,35.96,57.2,76,100,6.71,RU,2020-10-14 19:54:30
26,Chokurdakh,70.63,147.92,19.83,98,92,2.28,RU,2020-10-14 19:54:30
27,Port Alfred,-33.59,26.89,61.41,78,0,18.66,ZA,2020-10-14 19:54:30
28,Hermanus,-34.42,19.23,61.0,76,0,5.01,ZA,2020-10-14 19:54:30
29,Ust-Kulom,61.69,53.69,30.58,96,0,3.56,RU,2020-10-14 19:54:31
30,Nanortalik,60.14,-45.24,36.95,86,8,3.06,GL,2020-10-14 19:54:31
31,Yerbogachen,61.28,108.01,29.28,95,100,10.58,RU,2020-10-14 19:54:31
32,Camacha,33.08,-16.33,68.0,82,40,10.29,PT,2020-10-14 19:54:31
